run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR10852010,SAMN13763500,SAMN13763500,Vibrio cholerae,9 01 2020,USA,Vibrio cholerae,128391962;138763240,380302456,820360,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/010/SRR10852010/SRR10852010_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/010/SRR10852010/SRR10852010_2.fastq.gz']","128 MB, 139 MB files; 0.8 million reads; 380.3 million sequenced bases"
SRR10852046,SAMN13763539,SAMN13763539,Vibrio cholerae,9 01 2020,USA,Vibrio cholerae,110351959;123488591,345137379,711612,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/046/SRR10852046/SRR10852046_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/046/SRR10852046/SRR10852046_2.fastq.gz']","110 MB, 123 MB files; 0.7 million reads; 345.1 million sequenced bases"
SRR10852055,SAMN13763579,SAMN13763579,Vibrio cholerae,9 01 2020,USA,Vibrio cholerae,131021572;149780807,407100387,837776,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/055/SRR10852055/SRR10852055_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/055/SRR10852055/SRR10852055_2.fastq.gz']","131 MB, 150 MB files; 0.8 million reads; 407.1 million sequenced bases"
SRR12608396,SAMN16081352,SAMN16081352,Vibrio cholerae,9 09 2020,USA,Vibrio cholerae,148954245;162649430,424515271,899424,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/096/SRR12608396/SRR12608396_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/096/SRR12608396/SRR12608396_2.fastq.gz']","149 MB, 163 MB files; 0.9 million reads; 424.5 million sequenced bases"
SRR13084963,SAMN16836868,SAMN16836868,Vibrio cholerae,20 11 2020,USA,Vibrio cholerae,198832278;215901692,565295420,1190706,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/063/SRR13084963/SRR13084963_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/063/SRR13084963/SRR13084963_2.fastq.gz']","199 MB, 216 MB files; 1.2 million reads; 565.3 million sequenced bases"
SRR13600581,SAMN17723460,SAMN17723460,Vibrio cholerae,2 02 2021,USA,Vibrio cholerae,137454075;148292418,405601415,839623,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/081/SRR13600581/SRR13600581_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/081/SRR13600581/SRR13600581_2.fastq.gz']","137 MB, 148 MB files; 0.8 million reads; 405.6 million sequenced bases"
SRR13600582,SAMN17723454,SAMN17723454,Vibrio cholerae,2 02 2021,USA,Vibrio cholerae,173548489;205171633,497853596,1060805,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/082/SRR13600582/SRR13600582_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/082/SRR13600582/SRR13600582_2.fastq.gz']","174 MB, 205 MB files; 1.1 million reads; 497.9 million sequenced bases"
SRR13633641,SAMN17799680,SAMN17799680,Vibrio cholerae,5 02 2021,USA,Vibrio cholerae,93778883;116607941,329987154,673396,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/041/SRR13633641/SRR13633641_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/041/SRR13633641/SRR13633641_2.fastq.gz']","94 MB, 117 MB files; 0.7 million reads; 330.0 million sequenced bases"
SRR13783839,SAMN18057608,SAMN18057608,Vibrio cholerae,1 03 2021,USA,Vibrio cholerae,109421972;113183933,298304036,1003126,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/039/SRR13783839/SRR13783839_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/039/SRR13783839/SRR13783839_2.fastq.gz']","109 MB, 113 MB files; 1.0 million reads; 298.3 million sequenced bases"
SRR13790768,SAMN18065175,SAMN18065175,Vibrio cholerae,1 03 2021,USA,Vibrio cholerae,112064213;120254063,336173537,695994,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/068/SRR13790768/SRR13790768_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/068/SRR13790768/SRR13790768_2.fastq.gz']","112 MB, 120 MB files; 0.7 million reads; 336.2 million sequenced bases"
SRR13827093,SAMN18108651,SAMN18108651,Vibrio cholerae,3 03 2021,USA,Vibrio cholerae,159575071;179518309,494694189,1024654,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/093/SRR13827093/SRR13827093_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/093/SRR13827093/SRR13827093_2.fastq.gz']","160 MB, 180 MB files; 1.0 million reads; 494.7 million sequenced bases"
SRR13827094,SAMN18108650,SAMN18108650,Vibrio cholerae,3 03 2021,USA,Vibrio cholerae,99016938;105546707,300042390,622278,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/094/SRR13827094/SRR13827094_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/094/SRR13827094/SRR13827094_2.fastq.gz']","99 MB, 106 MB files; 0.6 million reads; 300.0 million sequenced bases"
SRR14417410,SAMN19011166,SAMN19011166,Vibrio cholerae,7 05 2021,USA,Vibrio cholerae,113080256;119899977,324494959,851544,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/010/SRR14417410/SRR14417410_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/010/SRR14417410/SRR14417410_2.fastq.gz']","113 MB, 120 MB files; 0.9 million reads; 324.5 million sequenced bases"
SRR14995690,SAMN19918868,SAMN19918868,Vibrio cholerae,4 07 2021,USA,Vibrio cholerae,87742523;101998726,287480509,604540,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR149/090/SRR14995690/SRR14995690_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR149/090/SRR14995690/SRR14995690_2.fastq.gz']","88 MB, 102 MB files; 0.6 million reads; 287.5 million sequenced bases"
SRR15027975,SAMN20007439,SAMN20007439,Vibrio cholerae,4 07 2021,USA,Vibrio cholerae,152425842;172557704,508354279,1051945,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/075/SRR15027975/SRR15027975_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/075/SRR15027975/SRR15027975_2.fastq.gz']","152 MB, 173 MB files; 1.1 million reads; 508.4 million sequenced bases"
SRR15178388,SAMN20286039,SAMN20286039,Vibrio cholerae,18 07 2021,USA,Vibrio cholerae,144963794;163878230,456738555,940400,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/088/SRR15178388/SRR15178388_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/088/SRR15178388/SRR15178388_2.fastq.gz']","145 MB, 164 MB files; 0.9 million reads; 456.7 million sequenced bases"
SRR15178391,SAMN20286035,SAMN20286035,Vibrio cholerae,18 07 2021,USA,Vibrio cholerae,172641366;206490579,562697600,1152811,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/091/SRR15178391/SRR15178391_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/091/SRR15178391/SRR15178391_2.fastq.gz']","173 MB, 206 MB files; 1.2 million reads; 562.7 million sequenced bases"
SRR15248852,SAMN20399193,SAMN20399193,Vibrio cholerae,28 07 2021,USA,Vibrio cholerae,63770923;68710576,178425677,604661,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/052/SRR15248852/SRR15248852_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/052/SRR15248852/SRR15248852_2.fastq.gz']","64 MB, 69 MB files; 0.6 million reads; 178.4 million sequenced bases"
SRR15301001,SAMN20505203,SAMN20505203,Vibrio cholerae,25 08 2021,USA,Vibrio cholerae,267828146;299455993,839282254,1671877,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/001/SRR15301001/SRR15301001_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/001/SRR15301001/SRR15301001_2.fastq.gz']","268 MB, 299 MB files; 1.7 million reads; 839.3 million sequenced bases"
SRR15323944,SAMN20591105,SAMN20591105,Vibrio cholerae,25 08 2021,USA,Vibrio cholerae,150045691;161557171,409255358,918639,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/044/SRR15323944/SRR15323944_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/044/SRR15323944/SRR15323944_2.fastq.gz']","150 MB, 162 MB files; 0.9 million reads; 409.3 million sequenced bases"
SRR15488856,SAMN20813342,SAMN20813342,Vibrio cholerae,25 08 2021,USA,Vibrio cholerae,50717391;65004627,208442448,415224,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/056/SRR15488856/SRR15488856_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/056/SRR15488856/SRR15488856_2.fastq.gz']","51 MB, 65 MB files; 0.4 million reads; 208.4 million sequenced bases"
SRR15566849,SAMN20931401,SAMN20931401,Vibrio cholerae,25 08 2021,USA,Vibrio cholerae,107279734;119454124,315483429,654857,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/049/SRR15566849/SRR15566849_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/049/SRR15566849/SRR15566849_2.fastq.gz']","107 MB, 119 MB files; 0.7 million reads; 315.5 million sequenced bases"
SRR15652169,SAMN21020004,SAMN21020004,Vibrio cholerae,28 08 2021,USA,Vibrio cholerae,158379744;185269278,547576656,1126872,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/069/SRR15652169/SRR15652169_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/069/SRR15652169/SRR15652169_2.fastq.gz']","158 MB, 185 MB files; 1.1 million reads; 547.6 million sequenced bases"
SRR15991828,SAMN21531117,SAMN21531117,Vibrio cholerae,22 09 2021,USA,Vibrio cholerae,127571296;137723916,387728630,811346,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/028/SRR15991828/SRR15991828_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/028/SRR15991828/SRR15991828_2.fastq.gz']","128 MB, 138 MB files; 0.8 million reads; 387.7 million sequenced bases"
SRR15991830,SAMN21531116,SAMN21531116,Vibrio cholerae,22 09 2021,USA,Vibrio cholerae,109330977;123584480,342650537,718178,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/030/SRR15991830/SRR15991830_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/030/SRR15991830/SRR15991830_2.fastq.gz']","109 MB, 124 MB files; 0.7 million reads; 342.7 million sequenced bases"
SRR16027645,SAMN21578998,SAMN21578998,Vibrio cholerae,24 09 2021,USA,Vibrio cholerae,182787846;184193313,488655602,1645221,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR160/045/SRR16027645/SRR16027645_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR160/045/SRR16027645/SRR16027645_2.fastq.gz']","183 MB, 184 MB files; 1.6 million reads; 488.7 million sequenced bases"
SRR16115465,SAMN21897403,SAMN21897403,Vibrio cholerae,3 10 2021,USA,Vibrio cholerae,181109950;203153973,552801376,1139498,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/065/SRR16115465/SRR16115465_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/065/SRR16115465/SRR16115465_2.fastq.gz']","181 MB, 203 MB files; 1.1 million reads; 552.8 million sequenced bases"
SRR16193813,SAMN22043427,SAMN22043427,Vibrio cholerae,5 10 2021,USA,Vibrio cholerae,99191539;115687118,315775051,652474,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/013/SRR16193813/SRR16193813_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/013/SRR16193813/SRR16193813_2.fastq.gz']","99 MB, 116 MB files; 0.7 million reads; 315.8 million sequenced bases"
SRR16249451,SAMN22163833,SAMN22163833,Vibrio cholerae,9 10 2021,USA,Vibrio cholerae,138651392;153198766,394558315,1324479,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/051/SRR16249451/SRR16249451_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/051/SRR16249451/SRR16249451_2.fastq.gz']","139 MB, 153 MB files; 1.3 million reads; 394.6 million sequenced bases"
SRR16263604,SAMN22168610,SAMN22168610,Vibrio cholerae,9 10 2021,USA,Vibrio cholerae,109861920;128749143,315970790,669888,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR16263604/SRR16263604_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR16263604/SRR16263604_2.fastq.gz']","110 MB, 129 MB files; 0.7 million reads; 316.0 million sequenced bases"
SRR16277940,SAMN22183820,SAMN22183820,Vibrio cholerae,10 10 2021,USA,Vibrio cholerae,292589758;308004993,773257708,1540354,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/040/SRR16277940/SRR16277940_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/040/SRR16277940/SRR16277940_2.fastq.gz']","293 MB, 308 MB files; 1.5 million reads; 773.3 million sequenced bases"
SRR16278180,SAMN22184126,SAMN22184126,Vibrio cholerae,10 10 2021,USA,Vibrio cholerae,148975304;157064542,419548583,1408155,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/080/SRR16278180/SRR16278180_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/080/SRR16278180/SRR16278180_2.fastq.gz']","149 MB, 157 MB files; 1.4 million reads; 419.5 million sequenced bases"
